1984 United States Congressional Voting Records Database
  https://paperswithcode.com/dataset/cvr
Source:  Congressional Quarterly Almanac, 98th Congress, 2nd session 1984, 
  Volume XL: Congressional Quarterly Inc., Washington, D.C., 1985.
by Jeff Schlimmer (Jeffrey.Schlimmer@a.gp.cs.cmu.edu), 27 April 1987 
Publications:
1. Schlimmer, J. C. (1987).  Concept acquisition through representational 
  adjustment. Doctoral dissertation, Department of Information and Computer 
  Science, University of California, Irvine, CA.
Info: This data set includes votes for each of the U.S. House of Representatives
  Congressmen on the 16 key votes identified by the CQA. The CQA lists nine 
  different types of votes: voted for, paired for, and announced for (these three 
  simplified to "p"), voted against, paired against, and announced against (these 
  three simplified to "n"), voted present, voted present to avoid conflict of 
  interest, and did not vote or otherwise make a position known (these three 
  simplified to "z").
Number of Rows: 435 (267 democrats, 168 republicans)
Number of Cols: name (r - republican, d - democrat) + 16 cases
Converted by: Vladimir Batagelj, July 1, 2022 
------------------------
"","handicapped.infants","water.project.cost.sharing","adoption.of.the.budget.resolution","physician.fee.freeze","el.salvador.aid","religious.groups.in.schools","anti.satellite.test.ban","aid.to.nicaraguan.contras","mx.missile","immigration","synfuels.corporation.cutback","education.spending","superfund.right.to.sue","crime","duty.free.exports","export.administration.act.south.africa"
"r062","n","p","n","p","p","p","n","n","n","n","n","p","p","p","n","n"
"d063","p","p","p","n","n","n","p","p","p","n","n","n","n","n","n","z"
"d064","p","p","p","n","n","n","p","p","p","n","p","n","n","n","n","p"
"d065","p","p","p","n","n","n","p","p","p","n","p","z","n","n","n","p"
"r066","p","p","n","p","p","p","p","n","n","n","n","p","p","p","n","p"
"r067","n","p","n","p","p","p","p","n","n","n","p","p","p","p","n","p"
"r068","n","p","n","p","p","p","n","n","n","p","n","p","p","p","n","n"
"d069","p","z","p","n","n","n","p","p","p","n","n","n","p","n","p","p"
"d070","p","p","p","n","n","n","p","p","p","n","n","n","n","n","p","p"
"d071","p","n","p","n","n","n","p","p","p","n","n","n","p","n","p","z"
"r072","p","p","p","p","n","n","p","p","p","p","p","n","n","p","n","p"
"d073","p","p","p","n","n","n","p","p","p","n","p","n","n","n","p","z"
"r074","p","n","p","p","p","n","p","n","p","p","n","n","p","p","n","p"
"d075","p","n","p","n","n","p","p","p","p","p","p","n","n","p","p","p"
"d076","n","p","p","p","p","p","n","n","n","p","p","n","p","p","n","n"
"d077","n","p","p","n","p","p","n","n","n","p","p","p","p","p","n","z"
"d078","n","p","p","p","p","p","n","p","p","p","p","p","p","p","n","p"
"d079","p","p","p","n","p","p","n","n","n","p","p","n","p","p","n","p"
"r080","n","n","n","p","p","n","n","n","n","p","n","p","p","p","n","n"
"d081","p","n","p","n","n","p","p","p","p","p","n","p","n","p","n","z"
"d082","p","n","p","n","n","n","p","p","z","p","p","p","n","p","n","p"
"r083","n","n","n","p","p","p","n","n","n","p","n","p","p","p","n","p"
"r084","n","n","n","p","p","p","n","n","n","n","n","p","p","p","n","n"
"r085","n","z","n","p","p","p","n","n","n","p","n","p","p","p","n","n"
"d086","n","n","p","n","p","p","n","n","n","p","p","p","p","p","n","p"
"r087","n","n","n","p","p","p","n","n","n","p","n","p","p","p","n","n"
"r088","n","n","n","p","p","p","n","n","n","n","n","p","p","p","n","n"
"d089","n","p","p","n","p","p","p","n","p","p","p","n","p","p","n","p"
"r090","n","n","n","p","p","p","n","n","n","p","n","z","p","p","n","z"
"d091","p","n","p","n","n","n","p","p","p","p","n","n","n","n","p","p"
"d092","p","n","p","n","n","n","p","p","p","p","p","n","n","n","p","p"
"d093","p","p","p","n","n","n","p","p","n","p","p","n","n","z","p","p"
"d094","p","n","p","n","n","n","p","n","p","p","p","n","n","n","p","p"
"d095","p","n","p","n","p","p","n","n","n","n","n","n","n","n","n","p"
"d096","p","n","p","n","p","p","n","z","z","n","p","z","z","z","p","p"
"d097","n","n","z","n","p","p","n","n","n","n","p","p","p","p","n","p"
"d098","p","n","n","n","p","p","p","n","n","p","p","n","n","p","n","p"
"d099","p","p","p","n","n","p","p","p","p","p","n","n","n","n","n","p"
"r100","n","n","n","p","p","p","n","n","n","p","z","p","p","p","n","n"
"d101","p","n","n","n","p","p","n","n","n","n","p","p","n","p","n","p"
"d102","p","n","p","n","p","p","p","n","n","n","p","n","n","p","n","p"
"d103","p","n","p","n","p","p","p","n","z","n","p","n","p","p","p","z"
"d104","p","n","n","n","p","p","z","n","z","n","n","n","n","p","z","n"
"d105","z","z","z","z","n","p","p","p","p","p","z","n","p","p","n","z"
"d106","p","p","p","n","n","n","n","p","p","n","p","n","n","n","p","p"
"r107","n","p","n","p","p","p","n","n","n","n","n","p","p","p","n","p"
"r108","n","z","z","z","z","z","z","z","z","z","z","z","z","p","z","z"
"d109","p","z","p","n","n","n","p","p","p","n","n","n","n","n","p","z"
"d110","p","z","p","n","n","n","p","p","p","n","n","n","n","n","p","z"
"d111","n","n","p","n","n","n","p","p","p","p","n","n","n","n","p","p"
"r112","n","z","n","p","p","p","n","n","n","p","n","p","p","p","n","p"
"d113","n","z","p","n","n","p","p","p","n","p","n","n","n","n","p","z"
"r114","n","z","n","p","p","p","n","n","n","p","n","p","p","p","n","n"
"d115","p","z","p","n","n","n","p","p","p","n","n","n","n","n","p","z"
"d116","n","z","p","n","z","z","p","p","p","p","z","z","n","n","p","p"
"d117","p","n","p","n","n","n","p","p","p","n","p","n","n","n","p","p"
"r118","p","p","p","p","p","n","p","n","n","n","n","p","p","p","n","p"
"d119","n","p","p","n","n","n","n","p","p","p","p","n","n","n","p","p"
"r120","n","n","n","p","p","p","n","n","n","n","n","p","p","p","n","n"
"r121","n","z","z","p","p","p","n","n","n","p","n","p","p","p","z","p"
"r122","n","z","n","p","p","p","n","n","n","p","n","p","p","p","n","p"
"r123","n","n","n","p","p","p","n","n","n","p","n","p","n","p","n","p"
"r124","p","z","n","p","p","p","n","p","n","n","n","p","p","p","n","p"
"d125","n","z","p","n","n","n","p","p","p","n","n","n","n","n","p","p"
"r126","n","z","n","p","p","p","n","n","n","p","n","p","p","p","n","p"
"r127","n","z","n","p","p","p","n","n","n","n","n","p","p","p","n","n"
"d128","n","z","p","n","n","n","p","p","p","p","p","n","n","p","p","p"
"d129","n","z","p","n","n","p","n","p","n","p","p","n","n","n","p","p"
"d130","z","z","p","n","n","n","p","p","z","n","z","z","z","z","z","z"
"d131","p","z","p","n","z","z","p","p","p","n","n","n","n","n","p","z"
"d132","n","n","p","n","n","p","n","p","p","p","n","n","n","p","n","p"
"r133","n","n","n","p","p","p","n","n","n","p","n","p","p","p","n","z"
"r134","n","n","n","p","p","p","n","n","n","p","n","p","p","p","n","p"
"r135","n","n","n","p","p","p","n","n","n","n","n","p","p","p","n","z"
"r136","n","n","n","p","p","p","n","n","n","p","n","p","p","p","n","n"
"r137","n","p","n","p","p","p","n","n","n","p","p","p","p","n","n","p"
"d138","n","z","p","n","n","p","p","p","p","p","n","n","n","p","p","p"
"d139","n","n","p","n","n","p","p","p","p","p","n","n","n","p","n","p"
"d140","p","n","p","n","n","p","p","p","p","n","n","n","n","n","p","p"
"r141","n","n","n","p","n","n","p","p","p","p","n","n","p","p","n","p"
"r142","n","n","n","p","p","p","p","p","p","p","n","p","p","p","z","p"
"r143","n","n","n","p","p","p","p","p","p","p","n","p","p","p","n","p"
"d144","z","p","n","n","n","n","p","p","p","p","p","n","n","p","p","p"
"d145","n","z","n","n","n","p","p","p","p","p","n","n","n","p","n","z"
"d146","n","n","p","n","n","p","p","p","p","p","n","n","n","p","z","p"
"r147","n","p","n","p","p","p","n","n","n","n","n","p","p","p","n","p"
"d148","n","n","n","n","n","n","p","p","p","p","n","p","p","p","p","p"
"r149","n","p","n","p","p","p","n","n","n","p","p","p","p","p","n","p"
"d150","n","n","p","n","n","n","p","p","p","p","n","n","p","n","p","p"
"r151","p","p","n","p","p","p","n","n","n","p","n","p","p","p","n","p"
"d152","p","p","z","p","p","p","n","n","p","n","p","z","p","p","n","n"
"d153","n","p","p","n","n","p","n","p","p","p","p","n","p","n","p","p"
"d154","n","n","p","n","n","p","p","p","p","p","p","n","p","p","n","p"
"r155","n","p","n","p","p","p","n","n","n","n","n","p","p","p","n","n"
"r156","p","p","n","p","p","p","n","z","n","n","p","p","p","p","n","n"
"r157","p","p","n","p","p","p","p","n","n","n","n","p","p","p","n","n"
"d158","n","p","p","n","n","p","n","p","p","n","p","n","z","z","z","z"
"r159","n","p","n","p","p","p","n","n","n","p","n","p","p","p","n","n"
"d160","n","p","p","n","z","p","p","p","p","p","p","n","n","z","n","z"
"d161","n","p","n","n","p","p","n","n","n","n","n","p","p","p","p","p"
"d162","n","n","n","n","p","p","p","n","n","n","n","p","p","p","n","p"
"d163","n","p","p","n","p","p","p","n","n","n","p","p","p","p","n","p"
"r164","n","p","n","p","p","p","p","n","n","n","n","p","p","p","n","p"
"d165","p","p","n","n","p","p","n","n","n","p","p","p","p","p","n","z"
"d166","n","p","p","n","n","p","p","p","p","p","p","n","p","n","p","z"
"r167","p","n","p","p","p","p","p","p","n","p","n","p","n","p","p","p"
"r168","p","n","p","p","p","p","p","p","n","p","p","p","n","p","p","p"
"d169","n","n","p","p","p","p","n","n","p","n","n","n","p","p","p","z"
"d170","p","n","p","n","n","n","p","p","p","p","p","n","n","p","n","p"
"d171","p","n","p","n","n","n","z","p","p","z","n","n","n","n","p","z"
"r172","n","z","n","p","p","p","n","n","n","p","n","p","p","p","n","p"
"d173","n","p","p","n","n","n","p","p","p","p","n","n","z","n","p","p"
"d174","n","n","n","n","p","p","n","n","n","p","p","p","p","p","n","p"
"d175","p","z","p","n","n","n","p","p","p","n","n","n","n","n","p","z"
"d176","n","p","p","n","n","n","p","p","p","p","n","n","n","n","p","p"
"r177","n","n","p","p","n","n","p","p","p","p","n","n","n","p","p","p"
"d178","n","n","p","n","n","n","p","p","p","p","p","z","n","n","p","p"
"d179","z","n","p","n","n","n","p","p","p","p","p","z","n","n","p","z"
"d180","p","n","p","n","n","n","p","p","p","p","n","n","n","n","p","p"
"d181","z","z","p","n","n","n","p","p","p","z","z","n","n","n","z","z"
"d182","n","n","p","n","n","n","p","p","p","p","p","n","n","n","p","p"
"d183","p","z","p","n","n","n","p","p","p","n","n","n","n","n","p","p"
"d184","z","z","z","z","z","z","z","z","p","z","z","z","z","z","z","z"
"d185","n","n","p","n","n","n","p","p","p","p","p","n","n","n","p","p"
"d186","p","n","p","n","n","n","p","p","p","p","n","z","n","n","p","p"
"d187","n","p","p","n","n","n","p","p","p","p","p","n","n","n","p","p"
"d188","p","n","p","n","n","n","p","p","p","n","n","n","n","n","p","z"
"r189","p","z","n","p","p","p","p","p","n","n","n","p","z","p","z","z"
"d190","p","n","p","n","n","n","p","p","p","n","n","n","n","n","p","p"
"r191","n","z","n","p","p","p","n","n","n","n","n","p","p","p","n","z"
"r192","n","p","n","p","p","p","n","z","n","p","n","p","p","p","n","z"
"d193","n","n","n","n","n","p","p","p","p","n","p","n","n","p","p","p"
"d194","n","n","p","n","n","n","p","p","p","n","n","n","n","n","p","p"
"d195","n","n","p","n","n","p","p","z","p","p","p","n","n","n","p","p"
"r196","n","n","n","p","p","p","n","n","n","n","n","p","p","p","n","z"
"d197","n","n","p","n","n","p","p","p","p","n","p","p","n","p","p","z"
"r198","n","z","p","p","p","p","n","n","n","p","n","n","n","p","n","p"
"d199","n","n","p","n","n","n","p","p","p","p","p","n","z","n","p","z"
"d200","p","p","n","n","n","n","p","p","z","n","p","n","n","n","p","z"
"d201","n","n","p","n","n","n","p","p","p","n","n","n","n","p","p","p"
"d202","p","p","p","n","n","n","p","p","p","n","n","n","n","n","p","p"
"d203","p","n","p","n","n","p","p","p","p","p","p","n","n","n","p","p"
"d204","p","n","p","n","n","n","p","p","p","p","n","n","n","n","p","p"
"r205","n","n","p","p","p","p","p","n","n","n","n","p","p","p","n","p"
"d206","n","n","p","n","n","p","p","p","p","p","n","p","n","n","n","p"
"r207","n","n","n","p","p","p","n","n","n","p","n","p","n","p","n","p"
"r208","p","z","n","p","p","p","p","n","n","p","n","p","p","p","n","p"
"d209","n","n","p","n","n","n","p","p","p","n","n","z","n","n","p","p"
"d210","p","p","p","n","n","n","p","p","p","p","p","n","n","n","n","p"
"d211","n","n","p","n","n","p","p","p","p","n","n","n","n","n","p","p"
"r212","n","p","n","p","p","p","n","n","n","p","n","p","p","p","n","p"
"d213","n","n","p","n","n","n","p","p","p","n","p","n","n","n","p","p"
"d214","n","p","p","n","n","p","n","p","p","n","p","n","p","n","p","p"
"r215","p","p","n","p","p","p","n","n","n","p","n","p","p","p","n","p"
"d216","n","p","p","p","p","p","n","n","n","p","p","p","p","p","p","z"
"d217","p","p","p","n","p","p","n","n","z","p","n","n","n","p","p","z"
"r218","n","p","n","p","p","p","n","n","n","p","n","p","p","p","n","n"
"d219","p","z","p","n","n","n","p","p","p","n","z","n","n","n","p","z"
"d220","n","p","p","n","n","n","n","p","p","n","p","n","n","p","p","p"
"d221","n","n","p","n","n","n","p","p","p","n","n","n","n","n","p","z"
"d222","n","p","p","n","p","p","n","n","n","n","p","n","n","n","p","z"
"d223","p","n","p","n","n","n","p","p","p","n","p","n","n","n","p","z"
"r224","n","n","n","p","p","n","n","n","n","n","n","p","p","p","n","p"
"r225","n","p","n","p","p","p","n","n","n","p","n","z","p","p","n","n"
"r226","n","z","n","p","p","p","n","n","n","n","n","p","p","p","n","p"
"d227","n","n","p","n","n","p","p","p","p","n","p","n","n","p","p","p"
"d228","p","n","p","n","n","n","p","p","p","n","n","n","n","n","z","p"
"r229","n","p","n","p","p","p","n","n","n","n","n","p","p","z","n","p"
"r230","n","p","p","p","p","p","p","n","p","p","n","p","p","p","n","p"
"r231","n","p","n","p","p","p","n","n","n","n","n","p","p","p","n","p"
"r232","n","p","n","p","p","p","n","n","p","p","n","p","p","p","n","p"
"d233","n","p","p","n","n","n","p","p","n","n","p","n","n","n","p","z"
"r234","n","p","n","p","p","p","n","n","n","p","n","p","p","p","n","p"
"d235","n","n","p","n","n","p","p","p","p","p","n","p","n","p","p","z"
"r236","n","n","n","p","p","p","n","n","n","p","n","p","n","p","n","p"
"d237","n","n","p","n","n","n","p","p","p","n","n","n","n","n","p","p"
"d238","p","n","p","n","n","p","p","p","n","n","n","p","p","n","n","p"
"d239","p","p","p","n","n","n","p","p","z","p","n","n","n","n","p","z"
"r240","n","n","n","p","p","p","p","n","n","p","n","n","n","p","p","p"
"r241","n","n","n","p","n","p","p","z","p","n","n","p","p","p","n","p"
"d242","p","n","p","n","n","n","p","p","p","p","p","n","n","p","p","p"
"r243","n","n","n","n","p","p","p","n","n","n","n","z","n","p","p","p"
"d244","n","p","p","n","n","n","p","p","z","p","n","n","p","n","p","p"
"d245","p","n","p","n","n","n","n","p","p","p","n","n","n","n","p","p"
"d246","p","n","p","n","n","n","p","p","p","p","p","n","n","n","p","p"
"d247","n","n","p","n","p","n","p","p","p","n","n","n","n","p","z","p"
"r248","n","p","n","p","p","p","z","n","n","n","n","z","p","p","n","n"
"r249","z","z","z","z","z","z","z","z","z","z","z","z","z","z","z","z"
"d250","p","n","p","n","n","n","p","p","z","n","p","n","n","n","p","p"
"r251","n","p","n","p","p","p","n","n","n","n","n","p","p","p","n","n"
"r252","n","p","n","p","p","p","n","n","n","n","n","p","p","p","n","n"
"d253","p","p","p","n","n","p","p","p","p","n","n","n","n","n","p","p"
"r254","n","p","n","p","p","p","n","n","n","n","n","p","p","p","n","p"
"d255","p","n","p","n","n","n","p","p","p","p","n","n","n","n","n","p"
"d256","p","n","p","n","n","n","p","p","p","p","n","n","n","p","p","p"
"r257","n","n","n","p","p","n","n","n","n","n","n","p","n","p","n","n"
"r258","n","n","n","p","p","n","n","n","n","n","n","p","n","p","z","p"
"d259","n","n","p","n","n","n","p","p","p","n","p","n","n","n","p","p"
"d260","p","n","p","n","n","n","p","p","p","n","n","n","n","n","n","p"
"d261","p","n","p","n","n","n","p","p","p","p","n","n","n","n","n","p"
"d262","p","n","p","n","n","z","p","p","p","n","z","z","n","z","z","z"
"d263","p","n","p","n","n","n","p","p","p","p","n","n","z","n","p","p"
"d264","p","n","p","n","n","n","p","p","p","n","n","n","n","n","p","z"
"d265","p","n","p","n","n","n","p","p","p","n","n","n","n","n","p","z"
"d266","p","n","p","n","n","n","p","p","p","p","n","n","n","n","n","p"
"r267","n","n","n","p","p","p","n","n","n","p","n","p","n","p","n","p"
"r268","p","n","n","n","n","n","p","p","p","p","n","n","n","p","n","p"
"d269","p","n","p","n","n","n","p","p","p","n","n","n","n","n","p","z"
"d270","p","n","p","n","n","n","p","p","p","n","n","n","n","n","n","p"
"d271","p","p","p","n","n","n","p","p","p","n","n","n","n","n","p","p"
"d272","n","p","p","n","n","p","p","p","p","n","z","n","n","n","n","p"
"d273","p","n","p","n","n","n","p","p","p","p","n","n","n","n","p","z"
"r274","n","n","n","p","p","n","p","p","n","p","n","p","p","p","z","p"
"r275","p","n","n","p","p","n","p","n","n","p","n","n","n","p","p","p"
"d276","n","n","p","n","p","p","n","n","n","n","z","n","p","p","n","n"
"r277","n","n","n","p","p","p","n","n","n","n","n","p","p","p","p","n"
"r278","n","n","p","p","p","p","p","p","n","p","n","n","n","p","n","p"
"r279","n","n","n","p","p","p","n","n","n","n","n","p","p","p","n","p"
"r280","n","n","n","p","p","p","n","n","n","p","n","p","p","p","n","n"
"d281","n","n","p","n","n","n","p","p","p","p","n","n","n","p","n","p"
"r282","p","n","p","p","p","p","p","p","n","n","n","n","n","p","n","z"
"r283","p","n","n","p","p","p","n","n","n","p","n","z","p","p","n","n"
"r284","n","n","n","p","p","p","n","n","n","n","n","p","p","p","n","p"
"d285","n","n","p","n","n","p","p","p","p","p","p","n","n","n","z","p"
"d286","n","n","p","n","n","p","p","p","p","p","p","n","n","n","p","p"
"d287","n","n","p","n","n","p","z","p","z","p","p","p","n","p","p","z"
"d288","p","p","p","z","n","p","p","p","p","n","p","n","p","n","z","p"
"d289","p","p","p","n","p","p","n","p","n","p","p","n","p","p","p","p"
"d290","p","p","p","n","p","p","n","p","n","p","p","n","p","p","n","z"
"d291","p","n","p","n","z","p","z","p","p","p","n","n","p","p","n","p"
"d292","p","n","p","n","n","p","p","p","p","p","n","z","n","p","n","p"
"d293","p","n","p","n","n","p","p","p","n","p","p","n","p","p","p","p"
"d294","p","p","p","n","n","p","p","p","p","p","p","n","p","p","p","p"
"d295","n","p","p","n","n","p","p","p","n","p","p","n","p","p","n","z"
"r296","n","p","n","p","p","p","z","z","n","p","n","p","z","z","z","z"
"r297","n","n","p","p","p","p","n","n","n","p","n","p","p","p","p","p"
"d298","p","p","p","n","n","p","p","p","p","p","n","n","z","n","p","z"
"d299","n","p","n","n","n","n","p","p","p","p","p","n","n","n","p","p"
"d300","n","p","p","n","n","p","p","p","p","p","n","n","p","p","p","p"
"r301","n","n","n","p","p","n","p","p","p","p","n","p","p","p","n","p"
"d302","n","n","z","n","n","p","p","p","p","n","n","n","n","n","p","p"
"r303","n","n","n","p","p","p","p","n","n","p","n","p","p","p","n","p"
"r304","n","n","n","p","p","p","n","n","n","n","n","p","p","p","n","n"
"r305","n","p","n","p","p","p","n","n","n","p","n","p","p","p","n","z"
"r306","n","n","n","p","p","p","n","n","n","p","n","p","p","p","n","n"
"r307","n","n","n","p","p","p","n","n","n","n","n","p","p","p","n","n"
"d308","p","n","p","n","n","p","p","p","p","n","n","n","n","p","n","z"
"r309","n","n","n","p","p","p","n","n","n","p","n","p","p","p","n","n"
"d310","p","n","n","n","n","p","p","p","p","p","n","n","n","p","p","p"
"r311","n","n","n","p","p","p","n","n","n","p","n","p","p","p","p","n"
"d312","n","n","p","n","n","p","p","p","p","p","n","n","p","n","n","p"
"d313","p","p","p","n","n","n","p","p","p","p","n","n","n","n","p","p"
"r314","n","p","p","p","p","p","n","n","n","p","n","p","p","p","n","p"
"r315","n","p","n","p","p","p","p","p","n","n","p","p","p","p","p","p"
"r316","n","p","p","p","p","p","p","z","n","n","n","n","z","z","p","z"
"d317","n","n","n","n","n","p","n","p","p","n","p","p","p","p","p","n"
"d318","p","n","n","n","n","n","p","p","p","p","n","n","n","n","p","p"
"d319","n","n","p","n","n","n","p","p","p","n","n","n","n","n","p","z"
"d320","p","n","p","n","n","n","p","p","p","n","n","n","n","n","p","z"
"d321","n","p","p","n","n","p","n","p","p","p","n","n","p","p","n","p"
"d322","p","p","p","n","n","n","p","p","p","p","n","n","p","n","n","p"
"d323","p","p","p","n","z","p","n","z","n","n","p","n","p","p","n","z"
"d324","p","p","p","n","p","p","n","p","z","p","n","n","p","p","n","z"
"r325","n","p","n","p","p","p","n","n","n","n","p","p","p","p","n","n"
"d326","n","p","n","n","p","p","n","n","z","n","n","p","p","p","n","p"
"d327","p","p","n","p","n","n","p","p","p","n","p","n","n","p","n","p"
"r328","n","p","n","p","p","p","n","n","n","n","n","p","p","p","n","p"
"d329","p","p","p","n","n","n","p","p","p","n","p","n","n","n","n","p"
"d330","p","z","p","n","n","p","p","p","p","p","n","n","n","n","p","z"
"r331","n","p","n","p","p","p","n","n","n","p","n","p","p","p","n","n"
"d332","p","z","p","n","n","n","p","p","p","n","n","n","n","n","p","z"
"d333","p","n","p","n","n","n","p","p","p","n","p","n","n","n","p","z"
"d334","n","n","p","n","n","n","p","p","p","n","n","n","n","n","p","p"
"d335","n","p","p","n","n","p","p","p","z","n","p","p","n","n","p","p"
"r336","n","n","n","p","p","p","n","n","n","p","p","p","p","p","n","z"
"d337","n","n","p","n","n","p","p","p","n","n","p","n","n","p","z","p"
"d338","p","n","p","n","n","n","p","p","p","n","n","n","n","n","p","p"
"d339","p","n","p","n","n","n","p","p","p","p","n","n","n","p","p","p"
"r340","p","n","n","p","p","p","n","n","n","n","p","p","p","p","n","n"
"r341","n","n","n","p","p","p","n","n","n","p","p","p","n","p","n","p"
"d342","n","z","p","z","n","p","p","p","p","p","p","n","z","z","p","p"
"d343","n","p","p","n","p","z","p","n","n","p","p","n","p","n","p","p"
